ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q2,Q5,introtime_1,introtime_2,introtime_3,introtime_4,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,countries_1_TEXT,countries_2_TEXT,countries_3_TEXT,countries_4_TEXT,countries_5_TEXT,countries_6_TEXT,countries_7_TEXT,countries_8_TEXT,countries_9_TEXT,countries_10_TEXT,countries_11_TEXT,countries_12_TEXT,countries_13_TEXT,countries_14_TEXT,countries_15_TEXT,countries_16_TEXT,countries_17_TEXT,countries_18_TEXT,countries_19_TEXT,countries_20_TEXT,countries_21_TEXT,countries_22_TEXT,countries_23_TEXT,countries_24_TEXT,countries_25_TEXT,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,team_inst,team1,team2,team3,team4,team5,team6,team7,team8,Q140,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,sex,age,DO-BR-FL_19,DO-BR-FL_37,DO-BL-Presentation1,DO-BL-Presentation1inverse,DO-BL-Recall1,DO-BL-Team,DO-BL-Competence,DO-Q-sen2,DO-Q-sen1,DO-Q-sen6,DO-Q-sen3,DO-Q-sen5,DO-Q-sen7,DO-Q-sen8,DO-Q-sen4,LocationLatitude,LocationLongitude,LocationAccuracy
R_eJOX8TLPS8suY6N,Default Response Set,Anonymous,,,75.68.119.60,0,29/02/16 22:33,29/02/16 22:39,1,703716,AIUKV0KVALMY6,1,1,0,0,1.297,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,australia,bulgaria,finland,iceland,russia,United States Of America,Mexico,Brazil,Chile,China,Thailand,Japan,Africa,Sweden,Germany,,,,,,,,,,,3,7,7,8,4,1,8,6,1,5,2,5,5,3,5,5,5,1,6,2,5,5,3,7,6,5,2,30,Presentation 1 inverse,Competence|Team,,f1|sen06n|f2|sen02p|f3|sen08n|f4|sen04p|f5|sen01p|f6|sen07n|f7|sen05n|f8|sen03p,sen4|sen3|sen6|sen5|sen7|sen8|sen2|sen1,team_inst|team5|team2|team8|team1|team7|team3|team6|team4,Q140|comp1|comp3|comp6|comp2|comp7|comp4|comp5|comp8,5|8|1|7|6|4|2|3,1|2|3|4|5|6|7|8,6|7|2|1|5|8|3|4,3|8|4|1|5|7|2|6,1|7|3|6|8|5|2|4,3|8|2|4|5|6|1|7,1|4|5|7|2|6|3|8,2|8|5|1|3|6|7|4,42.87060547,-71.61239624,-1
R_6E90BT1qjtyMuK9,Default Response Set,Anonymous,,,172.73.117.234,0,29/02/16 22:32,29/02/16 22:39,1,464882,A3JZS32RQUWGJM,1,1,37.185,37.228,43.251,2,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,ireland,china,sweden,denmark,finland ,belgium,germany,france,uganda,japan,thailand,laos,cambodia,tibet,nepal,india,pakistan,afghanistan,nigeria,ivory coast,benin,lesotho,south africa,kenya,6,7,7,1,5,2,8,7,1,7,2,6,1,2,6,4,2,1,6,2,5,2,3,6,4,2,1,36,Presentation 1,Team|Competence,f1|sen04p|f2|sen06n|f3|sen03p|f4|sen08n|f5|sen05n|f6|sen01p|f7|sen02p|f8|sen07n,,sen6|sen1|sen3|sen8|sen4|sen5|sen7|sen2,team_inst|team3|team2|team7|team4|team8|team5|team1|team6,Q140|comp5|comp2|comp8|comp1|comp7|comp4|comp6|comp3,2|5|6|3|7|4|1|8,1|2|3|4|5|6|7|8,3|5|7|1|2|6|4|8,4|2|5|1|7|6|8|3,4|1|2|8|5|7|3|6,3|4|1|6|8|7|2|5,3|2|8|4|1|7|6|5,7|3|5|2|1|6|8|4,35.36250305,-81.57409668,-1
R_6Md8Rr6RZUXmj5z,Default Response Set,Anonymous,,,75.118.138.235,0,29/02/16 22:32,29/02/16 22:39,1,547021,A3I3JQX0P2F0K3,1,1,20.74,20.74,48.158,1,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,Peru,USA,Canada,Mexico,Russia,Iceland,UK,China,Japan,South Korea,North Korea,Brazil,Chile,Uruguay,Paraguay,Spain,England,,,,,,,,,8,2,4,5,7,3,1,6,1,3,7,5,7,7,5,4,4,1,3,7,5,7,7,4,4,4,2,32,Presentation 1 inverse,Team|Competence,,f1|sen07n|f2|sen02p|f3|sen06n|f4|sen03p|f5|sen04p|f6|sen08n|f7|sen05n|f8|sen01p,sen2|sen3|sen7|sen6|sen1|sen5|sen4|sen8,team_inst|team8|team7|team3|team5|team4|team6|team2|team1,Q140|comp1|comp2|comp4|comp7|comp5|comp6|comp3|comp8,5|8|4|6|3|7|2|1,1|2|3|4|5|6|7|8,6|3|5|7|8|4|2|1,3|5|8|1|4|7|6|2,6|7|3|8|1|4|5|2,2|4|6|7|8|1|3|5,1|5|7|8|2|6|3|4,3|6|8|1|4|2|7|5,40.03450012,-82.86949921,-1
R_0PbM2xvGl4Z0yX3,Default Response Set,Anonymous,,,174.137.79.84,0,29/02/16 22:32,29/02/16 22:39,1,654131,A1C6BL1O5L5LA9,1,1,13.981,13.981,42.555,1,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Mexico,Canada,Cuba,Argentina,Brazil,Greenland,Iceland,Germany,England,Ireland,Scotland,Switzerland,Zimbabwe,Laos,South Korea,Japan,C,,,,,,,,3,2,1,2,7,5,6,4,1,7,4,4,4,3,3,4,1,1,6,4,5,4,4,4,4,2,1,35,Presentation 1,Competence|Team,f1|sen03p|f2|sen06n|f3|sen04p|f4|sen08n|f5|sen05n|f6|sen02p|f7|sen01p|f8|sen07n,,sen3|sen2|sen5|sen8|sen1|sen7|sen6|sen4,team_inst|team6|team5|team8|team1|team4|team2|team3|team7,Q140|comp1|comp2|comp3|comp7|comp8|comp5|comp4|comp6,3|4|7|5|2|8|1|6,1|2|3|4|5|6|7|8,7|5|8|4|2|1|6|3,2|8|6|5|1|4|3|7,7|5|3|8|4|2|6|1,8|3|7|2|5|1|6|4,8|5|7|6|2|1|4|3,4|3|2|6|1|7|8|5,32.74839783,-104.4358978,-1
R_0qZv85e8OOk0wmh,Default Response Set,Anonymous,,,50.180.51.38,0,29/02/16 22:33,29/02/16 22:39,1,873503,A32QJF67JMJFKX,1,1,0,0,33.01,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,united states,canada,turkey,saudi arabia,mexico,guatamala,brazil,agentina,chile,egypt,england,scotland,ireland,france,italy,germany,australia,new zealand,japan,north korea,south korea,,,,,2,5,4,7,6,3,1,8,1,5,7,5,5,7,5,7,5,1,5,7,5,5,7,5,7,5,1,28,Presentation 1 inverse,Team|Competence,,f1|sen07n|f2|sen01p|f3|sen06n|f4|sen04p|f5|sen03p|f6|sen05n|f7|sen08n|f8|sen02p,sen8|sen7|sen5|sen4|sen2|sen6|sen3|sen1,team_inst|team5|team8|team6|team7|team3|team2|team1|team4,Q140|comp3|comp8|comp5|comp7|comp4|comp6|comp1|comp2,8|6|3|4|2|5|1|7,1|2|3|4|5|6|7|8,6|4|8|3|5|7|2|1,8|3|7|6|2|1|4|5,8|5|3|2|4|7|1|6,7|3|5|4|1|2|8|6,5|6|1|3|4|8|7|2,8|2|1|7|3|6|5|4,33.74530029,-84.38289642,-1
R_4HMbZUglGcOsfL7,Default Response Set,Anonymous,,,173.50.164.18,0,29/02/16 22:34,29/02/16 22:39,1,908556,A1J9A6AK240KEX,1,1,0,0,21.279,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,Australia,United States,China,Japan,North Korea,South Korea,England,France ,Spain,Mexico,Italy,Germany,Russia,Sweden,Switzerland,Turkey,Belgium,Iraq,Iran ,Afghanistan,Istanbul,Netherlands,Ireland,Hungary,,1,2,8,5,3,7,8,8,1,5,4,1,3,4,4,2,3,1,4,5,2,5,4,3,2,4,2,28,Presentation 1 inverse,Competence|Team,,f1|sen07n|f2|sen02p|f3|sen05n|f4|sen04p|f5|sen01p|f6|sen08n|f7|sen06n|f8|sen03p,sen6|sen8|sen5|sen2|sen1|sen4|sen3|sen7,team_inst|team1|team6|team5|team3|team4|team7|team8|team2,Q140|comp5|comp2|comp8|comp6|comp4|comp3|comp7|comp1,2|7|4|1|8|3|5|6,1|2|3|4|5|6|7|8,6|2|3|8|4|5|7|1,5|3|8|1|2|7|4|6,4|3|7|6|8|5|1|2,4|1|3|8|6|5|2|7,3|5|1|4|7|2|6|8,6|8|5|1|2|7|3|4,41.48849487,-73.94339752,-1
R_3yEsK2nFtq6C72t,Default Response Set,Anonymous,,,192.119.217.182,0,29/02/16 22:33,29/02/16 22:40,1,663581,AOUTGJP3CL30L,1,1,0,0,40.087,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,usa,germany,mexico,spain,greece,switzerland ,great britain,scotland,ireland,brazil,argentina,columbia,panama,italy,,,,,,,,,,,,8,8,5,2,5,6,7,1,1,7,7,7,4,7,4,7,7,1,5,6,7,4,7,4,7,7,2,43,Presentation 1 inverse,Team|Competence,,f1|sen08n|f2|sen03p|f3|sen05n|f4|sen01p|f5|sen04p|f6|sen06n|f7|sen07n|f8|sen02p,sen8|sen7|sen6|sen5|sen1|sen4|sen2|sen3,team_inst|team6|team7|team5|team2|team1|team4|team8|team3,Q140|comp1|comp8|comp5|comp2|comp4|comp6|comp3|comp7,2|5|1|7|4|3|8|6,1|2|3|4|5|6|7|8,7|8|2|4|3|6|5|1,4|7|5|3|2|6|1|8,3|2|5|1|8|4|7|6,8|1|5|6|7|3|4|2,2|1|5|7|6|4|3|8,5|2|8|6|1|3|7|4,42.05250549,-87.89060211,-1
R_9ThyVbpx2rCLFxX,Default Response Set,Anonymous,,,67.248.67.70,0,29/02/16 22:34,29/02/16 22:40,1,468441,A1LN5IWMO9LN32,1,1,0,0,9.119,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,Canada,India,Sweden,Ireland,Iceland,France,Germany,Russia,Poland,,,,,,,,,,,,,,,,5,7,4,3,6,1,2,8,1,2,4,3,2,2,4,5,2,1,3,3,3,2,4,4,5,2,2,55,Presentation 1,Competence|Team,f1|sen04p|f2|sen07n|f3|sen03p|f4|sen05n|f5|sen06n|f6|sen01p|f7|sen02p|f8|sen08n,,sen3|sen5|sen6|sen2|sen1|sen4|sen7|sen8,team_inst|team5|team1|team8|team3|team2|team4|team7|team6,Q140|comp1|comp8|comp6|comp7|comp4|comp2|comp3|comp5,4|3|2|7|5|6|1|8,1|2|3|4|5|6|7|8,6|1|4|8|5|3|2|7,8|3|6|7|1|5|4|2,6|1|2|3|5|4|8|7,7|2|5|3|1|8|6|4,4|2|5|1|3|8|6|7,5|2|7|8|3|1|4|6,42.65339661,-73.80750275,-1
R_8e7cpJi6QA7yP2Z,Default Response Set,Anonymous,,,172.11.96.90,0,29/02/16 22:34,29/02/16 22:40,1,188860,A3PZMH0G4UBMYG,1,1,0,0,49.766,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Germany ,Brzil,Iraq,Afghanistan,North Korea,South Korea,Mexico,Canada,,,,,,,,,,,,,,,,,7,3,8,1,3,4,8,1,1,5,1,5,1,5,5,3,5,1,6,1,3,2,2,5,6,5,1,30,Presentation 1,Competence|Team,f1|sen02p|f2|sen08n|f3|sen04p|f4|sen06n|f5|sen05n|f6|sen03p|f7|sen01p|f8|sen07n,,sen7|sen8|sen3|sen4|sen2|sen1|sen5|sen6,team_inst|team8|team3|team7|team4|team1|team2|team5|team6,Q140|comp5|comp8|comp1|comp4|comp6|comp3|comp7|comp2,4|1|2|6|7|3|5|8,1|2|3|4|5|6|7|8,7|3|8|1|6|4|2|5,7|3|5|6|2|8|1|4,7|4|5|1|3|2|6|8,6|3|5|2|7|1|4|8,7|3|6|2|5|4|1|8,7|8|6|2|1|3|5|4,34.76860046,-87.5582962,-1
R_4HnAFp6lotEA0O9,Default Response Set,Anonymous,,,50.139.59.47,0,29/02/16 22:33,29/02/16 22:40,1,148001,A30AFC17LLJFV6,1,1,0,0,54.451,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,united states,germany,great britain,france,belgium,russia,china,japan,vietnam,south korea,north korea,mo,,,,,,,,,,,,,,6,7,1,3,4,5,1,2,1,2,3,5,5,3,5,4,4,1,4,4,5,5,4,5,5,4,1,42,Presentation 1,Team|Competence,f1|sen03p|f2|sen08n|f3|sen04p|f4|sen05n|f5|sen06n|f6|sen02p|f7|sen01p|f8|sen07n,,sen8|sen5|sen3|sen6|sen7|sen1|sen2|sen4,team_inst|team8|team7|team2|team4|team3|team5|team6|team1,Q140|comp4|comp3|comp6|comp5|comp2|comp7|comp1|comp8,4|2|3|1|8|7|6|5,1|2|3|4|5|6|7|8,3|8|2|4|5|6|7|1,4|3|7|8|2|6|5|1,7|8|4|2|1|3|6|5,8|1|2|3|6|4|7|5,2|5|4|3|6|8|7|1,5|1|3|8|2|4|7|6,45.53770447,-122.6006012,-1
R_9AbSPZYf8DyyiyN,Default Response Set,Anonymous,,,108.185.80.112,0,29/02/16 22:33,29/02/16 22:40,1,290689,AVFHRN0S32V2H,1,1,0,0,53.502,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Canada,Mexico,Nicaragua,Cambodia,Thailand,Vietnam,Laos,Nepal,India,China,Japan,South Korea,North Korea,Russia,France,England,Germany,Italy,Brazil,Uruguay,Peru,Colombi,,,6,3,3,7,4,5,7,4,1,4,1,6,1,5,4,4,5,1,2,1,6,1,3,4,4,4,1,33,Presentation 1,Competence|Team,f1|sen02p|f2|sen08n|f3|sen04p|f4|sen05n|f5|sen06n|f6|sen01p|f7|sen03p|f8|sen07n,,sen1|sen2|sen6|sen5|sen3|sen8|sen4|sen7,team_inst|team7|team5|team2|team3|team6|team1|team8|team4,Q140|comp4|comp3|comp7|comp1|comp2|comp5|comp6|comp8,2|8|4|1|7|5|6|3,1|2|3|4|5|6|7|8,6|3|7|4|2|1|8|5,1|3|2|7|4|8|6|5,6|5|1|2|8|4|3|7,3|6|8|2|4|1|5|7,8|7|4|6|3|5|1|2,5|3|7|8|1|4|2|6,33.9230957,-118.1396027,-1
R_8qDfMlqJ8jGaP8V,Default Response Set,Anonymous,,,63.111.43.195,0,29/02/16 22:34,29/02/16 22:40,1,528907,A3ONXJMQXLOGRZ,1,1,3.866,32.183,35.13,15,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,united states,canada,france,germany,prague,switzerland,spain,portugal,england,ireland,scotland,belize,cuba,honduras,el salvador,peru,venezuela,brazil,argentina,uruguay,chile,paraguay,,,,5,8,4,5,3,6,1,7,1,5,7,4,7,5,3,4,7,1,6,6,4,7,5,2,4,7,2,22,Presentation 1 inverse,Team|Competence,,f1|sen07n|f2|sen01p|f3|sen05n|f4|sen03p|f5|sen04p|f6|sen06n|f7|sen08n|f8|sen02p,sen1|sen3|sen7|sen4|sen5|sen8|sen6|sen2,team_inst|team4|team8|team2|team1|team7|team6|team5|team3,Q140|comp4|comp3|comp6|comp8|comp2|comp1|comp7|comp5,7|5|3|4|6|8|2|1,1|2|3|4|5|6|7|8,1|7|3|2|4|6|8|5,7|4|1|8|2|6|5|3,1|7|8|4|6|5|3|2,7|2|1|8|3|5|4|6,7|5|1|8|2|3|6|4,8|7|6|2|1|4|3|5,26.3453064,-80.08550262,-1
R_aWfoQi3t7iVFRhH,Default Response Set,Anonymous,,,99.122.60.15,0,29/02/16 22:32,29/02/16 22:40,1,913576,A1ZOFPPZVYQ0Z8,1,1,0,0,39.027,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,england,italy,germany,france,us,brazil,finland,poland,scottland,japan,china,canada,mexico,,,,,,,,,,,,,2,4,8,8,1,3,7,1,1,2,6,2,6,5,6,2,6,1,3,6,2,5,6,6,2,6,2,53,Presentation 1 inverse,Competence|Team,,f1|sen07n|f2|sen01p|f3|sen06n|f4|sen03p|f5|sen04p|f6|sen08n|f7|sen05n|f8|sen02p,sen6|sen8|sen1|sen7|sen3|sen2|sen5|sen4,team_inst|team6|team1|team8|team5|team7|team3|team2|team4,Q140|comp7|comp1|comp3|comp2|comp4|comp8|comp5|comp6,8|3|1|4|5|2|7|6,1|2|3|4|5|6|7|8,5|6|8|2|3|1|7|4,4|7|2|8|6|5|1|3,2|3|8|4|7|5|1|6,8|4|2|6|5|3|7|1,6|8|3|4|7|2|1|5,6|5|8|4|7|3|1|2,34.14830017,-84.14040375,-1
