ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mturkid,Q2,peerprime,peertime_1,peertime_2,peertime_3,peertime_4,leadprime,leadtime_1,leadtime_2,leadtime_3,leadtime_4,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,countries_1_TEXT,countries_2_TEXT,countries_3_TEXT,countries_4_TEXT,countries_5_TEXT,countries_6_TEXT,countries_7_TEXT,countries_8_TEXT,countries_9_TEXT,countries_10_TEXT,countries_11_TEXT,countries_12_TEXT,countries_13_TEXT,countries_14_TEXT,countries_15_TEXT,countries_16_TEXT,countries_17_TEXT,countries_18_TEXT,countries_19_TEXT,countries_20_TEXT,countries_21_TEXT,countries_22_TEXT,countries_23_TEXT,countries_24_TEXT,countries_25_TEXT,lead,Q54,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sex,age,DO-BR-FL_37,DO-BR-FL_19,DO-BL-Presentation1,DO-BL-Presentation1inverse,DO-BL-Recall1,DO-Q-sen2,DO-Q-sen1,DO-Q-lead,DO-Q-sen6,DO-Q-sen3,DO-Q-sen5,DO-Q-sen7,DO-Q-sen8,DO-Q-sen4,LocationLatitude,LocationLongitude,LocationAccuracy
R_4YoUS66A83UpOhD,Default Response Set,Anonymous,,,98.237.7.13,0,10/03/16 19:01,10/03/16 19:06,1,A31SWIPN621SCE,1,1,0,0,32.681,0,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,us,europe,england,germany,china,russia,switzerland,australia,africa,asia,turkey,iran,,,,,,,,,,,,,,,1,2,8,8,8,6,4,4,2,2,39,Peer prime,Presentation 1 inverse,,f1|sen06n|f2|sen01p|f3|sen08n|f4|sen03p|f5|sen02p|f6|sen05n|f7|sen07n|f8|sen04p,Q54|sen4|sen7|sen6|sen5|sen3|sen8|sen1|sen2,1|7|8|2|6|3|4|5,1|2|3|4|5|6|7|8,,4|8|7|6|3|1|5|2,1|4|7|8|2|3|6|5,2|3|4|8|6|1|7|5,7|3|6|8|5|4|2|1,5|1|4|3|7|6|2|8,5|7|3|6|1|4|2|8,39.79910278,-77.7539978,-1
R_0OolisshptpmIQt,Default Response Set,Anonymous,,,74.102.229.133,0,10/03/16 19:01,10/03/16 19:06,1,A1R5W4RQZTROD8,1,1,0,0,35.491,0,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,United States,England,Zimbabawe,South Korea,North Korea,Mexico,Canada,France,Ireland,Norway,Denmark,Sweden,China,Germany,Greece,Italy,Israel,Egypt,Saudi Arabia,Iran,Iraq,Kuwait,China,Japan,Thailand,,1,3,5,2,8,8,3,1,4,1,36,Peer prime,Presentation 1 inverse,,f1|sen07n|f2|sen03p|f3|sen06n|f4|sen02p|f5|sen01p|f6|sen05n|f7|sen08n|f8|sen04p,Q54|sen7|sen3|sen6|sen2|sen5|sen8|sen1|sen4,3|7|6|5|4|2|1|8,1|2|3|4|5|6|7|8,,5|4|6|3|7|1|2|8,2|8|7|6|4|3|1|5,7|4|2|5|6|8|3|1,8|6|3|5|7|2|1|4,8|5|4|2|7|1|3|6,2|7|5|4|6|8|1|3,40.86329651,-73.98989868,-1
R_4SYCu1bNblpnTFz,Default Response Set,Anonymous,,,71.86.150.9,0,10/03/16 19:00,10/03/16 19:07,1,A3BY2WDCY8YLDE,1,,,,,,1,0,0,42.889,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,united state,paris,europe,japan,tawiian,mexico,brazil,,,,,,,,,,,,,,,,,,,1,1,2,1,8,8,2,5,4,6,2,27,Lead prime,Presentation 1 inverse,,f1|sen05n|f2|sen01p|f3|sen08n|f4|sen03p|f5|sen02p|f6|sen07n|f7|sen06n|f8|sen04p,Q54|sen7|sen8|sen4|sen6|sen1|sen2|sen3|sen5,6|5|1|2|4|8|3|7,1|2|3|4|5|6|7|8,5|6|4|1|3|7|8|2,8|3|2|6|5|1|7|4,7|6|5|8|3|4|2|1,4|7|1|6|2|3|8|5,3|7|8|5|2|6|1|4,6|4|2|5|8|3|7|1,2|8|4|6|1|5|7|3,38.8401947,-90.28029633,-1
R_3lsrcGyy8Ikx86p,Default Response Set,Anonymous,,,76.127.229.138,0,10/03/16 19:00,10/03/16 19:07,1,A24LUXW1DB1QI5,1,,,,,,1,0,0,44.517,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,us,canada,mexico,italy,france,spain,england,china,japan,thailand,new zealand,germany,,,,,,,,,,,,,,1,1,3,3,4,1,2,8,6,5,2,36,Lead prime,Presentation 1,f1|sen04p|f2|sen05n|f3|sen01p|f4|sen07n|f5|sen08n|f6|sen03p|f7|sen02p|f8|sen06n,,Q54|sen2|sen3|sen4|sen8|sen1|sen6|sen5|sen7,6|1|3|8|5|2|7|4,1|2|3|4|5|6|7|8,6|2|4|3|5|1|7|8,4|3|5|6|1|2|7|8,2|4|7|8|5|1|3|6,8|1|7|2|5|6|3|4,2|8|3|4|5|7|6|1,2|7|3|5|8|4|1|6,1|5|8|7|4|6|2|3,42.12350464,-72.63990021,-1
R_dmaiwbCt3mmD5rv,Default Response Set,Anonymous,,,76.104.229.189,0,10/03/16 19:01,10/03/16 19:07,1,A1LJ4WAEDGELVL,1,,,,,,1,2.407,5.964,41.404,2,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,Japan,Australia,Russia,Ukraine,Lithuana,Latvia,England,Germany,Canada,Brazil,Mexico,Indonesia,South Korea,India,Kazakhstan,Afghanistan,Turkey,Greece,Cyprus,Nigeria,Algeria,Morocco,Namibia,South Africa,United S,2,1,4,8,2,5,7,1,3,3,2,26,Lead prime,Presentation 1 inverse,,f1|sen08n|f2|sen03p|f3|sen07n|f4|sen04p|f5|sen01p|f6|sen05n|f7|sen06n|f8|sen02p,Q54|sen5|sen2|sen7|sen1|sen4|sen8|sen3|sen6,6|4|1|8|5|2|7|3,1|2|3|4|5|6|7|8,8|4|3|7|1|6|2|5,7|6|8|2|4|1|3|5,5|6|1|8|2|4|7|3,7|8|1|2|3|5|4|6,5|2|8|1|6|7|3|4,1|5|3|6|2|7|8|4,4|6|2|8|1|3|7|5,48.68609619,-122.4104004,-1
R_71C34WgkUjEfxWJ,Default Response Set,Anonymous,,,72.185.115.214,0,10/03/16 19:01,10/03/16 19:07,1,A1YO4UMTIIDHBD,1,,,,,,1,0,0,32.833,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,China,South Korea,North Korea,Thailand,Vietnam,Laos,Cambodia,Japan,Pakistan,Iran,Iraq,Georgia,Sweden,Netherlands,France,Ita,,,,,,,,,,8,1,2,1,8,2,3,7,7,3,2,22,Lead prime,Presentation 1 inverse,,f1|sen06n|f2|sen01p|f3|sen05n|f4|sen02p|f5|sen04p|f6|sen08n|f7|sen07n|f8|sen03p,Q54|sen6|sen8|sen3|sen4|sen5|sen2|sen1|sen7,2|6|5|7|4|1|8|3,1|2|3|4|5|6|7|8,6|7|8|4|1|3|5|2,6|8|2|3|7|4|1|5,5|2|8|6|3|7|1|4,3|8|4|6|2|5|7|1,5|2|8|6|3|7|4|1,5|1|6|8|4|7|3|2,5|2|1|8|3|4|6|7,27.78990173,-82.6772995,-1
R_6mSgXaECVgXdf6J,Default Response Set,Anonymous,,,71.31.89.134,0,10/03/16 19:02,10/03/16 19:07,1,A18WSOMIRI94OM,1,,,,,,1,0,0,31.322,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,usa,english,canada,mexico,greneda,france,germany,columbia,belize,uganda,south africa,china,taiwan,north korea,south korea,thailand,laos,cambodia,vietnam,japan,,,,,,1,1,4,1,6,8,4,5,3,2,2,36,Lead prime,Presentation 1,f1|sen02p|f2|sen07n|f3|sen01p|f4|sen05n|f5|sen06n|f6|sen03p|f7|sen04p|f8|sen08n,,Q54|sen8|sen6|sen5|sen2|sen7|sen3|sen4|sen1,4|5|3|6|2|8|1|7,1|2|3|4|5|6|7|8,7|3|8|4|2|5|6|1,8|4|7|5|3|6|2|1,5|1|6|7|3|4|8|2,6|3|1|7|4|2|8|5,7|1|4|5|8|3|2|6,5|2|7|8|6|1|4|3,7|5|6|8|4|3|1|2,41.25010681,-81.45770264,-1
R_6R1UyNHy1x03CIt,Default Response Set,Anonymous,,,65.216.122.126,0,10/03/16 19:02,10/03/16 19:07,1,A2YBZFSUD5OP7W,1,,,,,,1,0,0,38.529,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,Mexico,Canada,Uruguay,Paraguay,Honduras,Argentina,Chile,Brazil,Denmark,FInland,Holland,Switzerland,France,Germany,England,Spain,Italy,China,Japan,Russia,South Korea,North Korea,Malaysia,Singapore,7,1,2,2,7,5,7,8,3,3,2,29,Lead prime,Presentation 1,f1|sen02p|f2|sen08n|f3|sen04p|f4|sen06n|f5|sen05n|f6|sen03p|f7|sen01p|f8|sen07n,,Q54|sen4|sen1|sen8|sen2|sen5|sen7|sen6|sen3,2|5|3|4|6|7|8|1,1|2|3|4|5|6|7|8,7|2|6|5|4|3|8|1,3|5|7|6|4|2|8|1,1|5|8|4|7|3|2|6,2|8|4|1|6|5|3|7,2|5|7|8|4|3|1|6,2|8|3|7|4|1|6|5,6|8|3|5|2|4|1|7,38,-97,-1
R_cOqy4FscPYa3cuF,Default Response Set,Anonymous,,,50.201.35.162,0,10/03/16 19:01,10/03/16 19:07,1,A1RSJ45RXTREWN,1,,,,,,1,0,0,68.086,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,Albania,Algeria,Canada,Cambodia,Pakistan,Germany,Switzerland,Italy,Philippines,Indonesia,United States,France,Austria,Hungary,Czech Republic,Slovakia,Oman,,,,,,,,,2,1,8,4,2,5,1,3,6,6,2,36,Lead prime,Presentation 1 inverse,,f1|sen05n|f2|sen03p|f3|sen06n|f4|sen02p|f5|sen04p|f6|sen07n|f7|sen08n|f8|sen01p,Q54|sen7|sen3|sen6|sen8|sen4|sen2|sen5|sen1,5|1|2|8|3|7|4|6,1|2|3|4|5|6|7|8,4|3|7|1|8|2|5|6,2|3|6|1|8|4|5|7,5|3|4|2|7|8|1|6,7|1|5|4|2|6|3|8,4|1|5|7|3|8|2|6,1|2|3|5|6|8|4|7,4|8|1|7|2|6|3|5,39.17489624,-76.83750153,-1
R_86527lpUvra0NYp,Default Response Set,Anonymous,,,64.29.40.87,0,10/03/16 19:02,10/03/16 19:07,1,A37LZED187CKU3,1,,,,,,1,0,0,38.41,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,us,mexico,canada,brazil,japan,china,korea,new zaland,australia,,,,,,,,,,,,,,,,,2,1,8,6,2,6,7,3,6,4,2,36,Lead prime,Presentation 1 inverse,,f1|sen05n|f2|sen03p|f3|sen08n|f4|sen04p|f5|sen02p|f6|sen07n|f7|sen06n|f8|sen01p,Q54|sen7|sen5|sen8|sen4|sen3|sen1|sen2|sen6,6|1|2|8|4|5|3|7,1|2|3|4|5|6|7|8,8|3|2|4|5|6|1|7,7|8|1|5|4|2|3|6,4|7|6|1|5|2|3|8,6|5|7|8|4|3|1|2,1|2|7|6|8|4|3|5,3|5|7|2|4|8|1|6,5|6|7|8|2|4|1|3,28.02220154,-81.73290253,-1
R_8uDvDuM94eYLyo5,Default Response Set,Anonymous,,,73.8.183.200,0,10/03/16 19:01,10/03/16 19:07,1,A9O273N0X06JS,1,,,,,,1,0,0,88.458,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,USA,mexico,canida ,japan,china,korea,,,,,,,,,,,,,,,,,,,,5,1,4,2,8,6,3,7,7,3,1,23,Lead prime,Presentation 1 inverse,,f1|sen07n|f2|sen02p|f3|sen06n|f4|sen01p|f5|sen04p|f6|sen05n|f7|sen08n|f8|sen03p,Q54|sen7|sen5|sen3|sen2|sen1|sen8|sen4|sen6,6|5|1|4|7|3|8|2,1|2|3|4|5|6|7|8,1|6|8|4|3|7|5|2,6|1|3|5|4|7|8|2,8|3|6|4|7|1|5|2,8|3|7|1|5|2|6|4,6|4|8|2|7|3|1|5,3|5|7|8|2|1|4|6,8|7|5|6|2|1|4|3,41.89630127,-88.74420166,-1
R_cGV9EKKIwiqIDZ3,Default Response Set,Anonymous,,,108.89.172.13,0,10/03/16 19:01,10/03/16 19:07,1,A3QJJR5Y3XE92N,1,,,,,,1,0,0,52.726,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,usa,canada,iran,portugal,england,scotland,wales,tanzania,holland,iraq,jordan,spain,france,geramany,turkey,zimbabway,,,,,,,,,,2,1,5,8,2,4,7,3,1,1,1,34,Lead prime,Presentation 1 inverse,,f1|sen08n|f2|sen03p|f3|sen06n|f4|sen02p|f5|sen04p|f6|sen07n|f7|sen05n|f8|sen01p,Q54|sen8|sen7|sen2|sen6|sen1|sen3|sen5|sen4,1|8|4|3|7|5|6|2,1|2|3|4|5|6|7|8,3|1|5|4|2|6|8|7,5|1|6|8|2|3|7|4,3|6|7|1|8|4|5|2,3|2|1|5|7|8|4|6,5|7|3|6|1|4|2|8,1|2|4|3|7|5|8|6,2|7|1|3|6|8|4|5,34.41799927,-118.5662003,-1
R_51DU9PElWM6BC6x,Default Response Set,Anonymous,,,96.241.202.245,0,10/03/16 19:01,10/03/16 19:07,1,A4158R4Y06ZB4,1,1,0,0,50.973,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,Japan,England,United States,Brazil,Canada,Chile,India,New ZZealand,,,,,,,,,,,,,,,,,,,1,7,1,5,3,6,8,2,4,1,25,Peer prime,Presentation 1,f1|sen02p|f2|sen07n|f3|sen03p|f4|sen08n|f5|sen06n|f6|sen04p|f7|sen01p|f8|sen05n,,Q54|sen6|sen2|sen1|sen7|sen3|sen5|sen8|sen4,6|1|7|2|3|4|5|8,1|2|3|4|5|6|7|8,,1|8|3|4|5|2|7|6,5|6|1|8|2|7|4|3,1|4|2|5|8|6|3|7,8|4|6|7|2|3|1|5,1|6|5|3|8|7|2|4,5|4|2|8|6|7|1|3,38.77589417,-77.23439789,-1
R_7WjrJwhRBqPLtfn,Default Response Set,Anonymous,,,99.198.151.134,0,10/03/16 19:02,10/03/16 19:08,1,A20IA63WXHF683,1,,,,,,1,0,0,79.244,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,Canada,Africa,Turkey,Sudan,Russia,germany,Italiy,Poland,North korea,South Korea,Japan,Hong Kong,China,Italy,France,Jordan,Iraq,Iran,Afghanistan,New Zealand,Iceland,Venezuela,Chili,Panama,6,1,3,6,1,8,2,7,2,4,2,42,Lead prime,Presentation 1,f1|sen01p|f2|sen07n|f3|sen02p|f4|sen08n|f5|sen05n|f6|sen03p|f7|sen04p|f8|sen06n,,Q54|sen1|sen8|sen5|sen6|sen7|sen2|sen4|sen3,5|2|4|8|7|1|3|6,1|2|3|4|5|6|7|8,1|2|6|7|8|5|3|4,6|7|5|8|3|4|1|2,8|5|6|4|2|3|1|7,2|3|7|1|6|8|5|4,1|4|5|2|3|7|6|8,8|3|1|7|6|4|5|2,4|2|1|8|5|6|7|3,39.09190369,-94.60289764,-1
R_6Jy1ljPLNv1RijX,Default Response Set,Anonymous,,,97.84.173.192,0,10/03/16 19:02,10/03/16 19:08,1,A13T61GJTR2Y9B,1,1,0,0,50.272,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Canada,Mexico,Honduras,Nicoraugua,Columbia,Venezuela,Brazil,Portugal,Spain,Romania,France,England,Scotland,Wales,Ireland,Russia,Georgia,Ukraine,Japan,North Korea,South Korea,Japan,China,,,1,8,1,7,6,2,8,5,3,1,39,Peer prime,Presentation 1,f1|sen02p|f2|sen05n|f3|sen04p|f4|sen08n|f5|sen07n|f6|sen03p|f7|sen01p|f8|sen06n,,Q54|sen7|sen6|sen2|sen4|sen3|sen8|sen1|sen5,4|3|2|1|7|6|8|5,1|2|3|4|5|6|7|8,,2|5|8|4|6|1|3|7,8|1|2|3|7|5|4|6,6|8|4|5|1|7|2|3,4|2|1|5|3|8|7|6,7|8|2|3|5|4|1|6,2|1|5|7|4|8|6|3,43.40029907,-84.07279968,-1
R_0D7GQFqJiDnzJOt,Default Response Set,Anonymous,,,65.29.197.179,0,10/03/16 19:02,10/03/16 19:08,1,A2VBSFSJXLZZ7A,1,1,0,0,54.692,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United states,noth korea,south korea,japan,china,russia,jordan,iraq,syria,iran,turkey,georgia,,,,,,,,,,,,,,,1,7,4,5,3,2,6,8,7,1,33,Peer prime,Presentation 1,f1|sen02p|f2|sen08n|f3|sen01p|f4|sen06n|f5|sen05n|f6|sen03p|f7|sen04p|f8|sen07n,,Q54|sen5|sen1|sen2|sen7|sen3|sen8|sen4|sen6,4|2|7|6|3|1|8|5,1|2|3|4|5|6|7|8,,4|1|3|8|2|7|5|6,6|5|2|8|7|4|1|3,5|8|4|2|6|3|1|7,5|6|4|7|3|8|2|1,6|4|3|5|2|1|7|8,8|4|2|1|6|7|5|3,39.96710205,-83.76940155,-1
R_b3CvFXYFCcZ0eIR,Default Response Set,Anonymous,,,184.1.228.87,0,10/03/16 19:00,10/03/16 19:08,1,A2LQ33BQ8G259D,1,1,0,0,63.277,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,Canada,Mexico,Guatamale,Honduras,Panama,China,Nicurgua,Brazil,Chile,Argentina,Peru,Columbia,Venezula,Uraguay,p,,,,,,,,,,,1,7,1,6,1,4,2,5,5,1,40,Peer prime,Presentation 1,f1|sen04p|f2|sen06n|f3|sen02p|f4|sen05n|f5|sen07n|f6|sen03p|f7|sen01p|f8|sen08n,,Q54|sen6|sen2|sen1|sen5|sen3|sen4|sen8|sen7,6|8|7|4|3|1|5|2,1|2|3|4|5|6|7|8,,6|1|3|2|4|7|8|5,7|4|3|2|5|1|8|6,6|1|5|7|8|2|4|3,7|1|8|2|4|5|3|6,4|8|6|1|2|3|7|5,1|4|3|7|8|2|6|5,44.80540466,-93.62480164,-1
R_6utYpEZ4Nfs2Oax,Default Response Set,Anonymous,,,76.73.250.5,0,10/03/16 19:03,10/03/16 19:08,1,A1HWI4N1RJGKYY,1,1,0,0,34.077,0,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,usa,mexico,canada,panama,brazil,argentina,peru,bolivia,uruguay,england,scotland,ireland,france,germany,spain,italy,greece,turkey,russia,ukraine,chile,japan,china,north korea,south korea,,1,2,4,8,7,6,6,3,1,1,31,Peer prime,Presentation 1 inverse,,f1|sen08n|f2|sen01p|f3|sen07n|f4|sen04p|f5|sen03p|f6|sen05n|f7|sen06n|f8|sen02p,Q54|sen3|sen7|sen2|sen6|sen1|sen8|sen5|sen4,1|8|3|7|5|6|2|4,1|2|3|4|5|6|7|8,,3|6|2|1|8|7|4|5,8|6|5|7|2|1|4|3,2|5|4|7|3|1|6|8,7|5|6|3|2|8|4|1,6|3|5|4|1|2|8|7,3|7|5|1|2|4|8|6,32.80099487,-79.99690247,-1
