ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mturkid,Q5,time_1,time_2,time_3,time_4,f1,warm1,f2,warm2,f3,warm3,f4,warm4,f5,warm5,f6,warm6,f7,cold1,f8,cold2,f2,cold3,f3,cold4,f1,cold5,f4,cold6,sex,age,LocationLatitude,LocationLongitude,LocationAccuracy
R_cHLZdQUJ7JlYVz7,Default Response Set,Anonymous,,,72.209.61.224,0,25/04/16 19:37,25/04/16 19:39,1,AHGJTOTIPCL8X,1,0,0,39.056,0,1,5,1,7,1,6,1,5,1,6,1,6,1,4,1,1,1,2,1,3,1,4,1,3,2,48,41.76939392,-71.46759796,-1
R_3mF9oXCxutmkc4J,Default Response Set,Anonymous,,,70.117.97.72,0,25/04/16 19:37,25/04/16 19:39,1,A591O1PKCS6OX,1,11.046,11.511,35.787,2,1,5,1,5,1,2,1,4,1,3,1,4,1,2,1,3,1,1,1,2,1,3,1,3,2,34,30.41540527,-97.79820251,-1
R_eLsfxVKeljQjURT,Default Response Set,Anonymous,,,99.101.101.202,0,25/04/16 19:37,25/04/16 19:40,1,A166A2M31CW2C7,1,61.646,61.646,64.253,1,1,5,1,5,1,6,1,6,1,6,1,7,1,4,1,3,1,4,1,2,1,3,1,4,1,27,35.03869629,-89.92759705,-1
R_ctNUduKH9K9BjA9,Default Response Set,Anonymous,,,76.77.232.227,0,25/04/16 19:37,25/04/16 19:40,1,A3PL4IJFVVRCPD,1,0,0,29.626,0,1,5,1,4,1,6,1,6,1,4,1,6,1,3,1,2,1,2,1,3,1,2,1,2,2,45,39.0164032,-89.78109741,-1
R_a9v5aWhg81wk2K9,Default Response Set,Anonymous,,,67.165.51.192,0,25/04/16 19:38,25/04/16 19:40,1,A1GDQ2QVPW8DBR,1,0,0,70.087,0,1,7,1,6,1,7,1,7,1,7,1,7,1,2,1,2,1,1,1,1,1,2,1,2,2,39,40.51609802,-80.03749847,-1
R_d0EEN7cFePJtzP7,Default Response Set,Anonymous,,,73.44.91.223,0,25/04/16 19:38,25/04/16 19:41,1,A1XC103XSP8MMD,1,0,0,23.629,0,1,5,1,7,1,6,1,6,1,6,1,6,1,4,1,2,1,3,1,3,1,3,1,3,2,30,42.05619812,-87.70110321,-1
R_eQdOv86l6FNpioR,Default Response Set,Anonymous,,,173.49.135.186,0,25/04/16 19:38,25/04/16 19:41,1,A15SPRQ2HRRZMQ,1,0,0,62.627,0,1,7,1,7,1,7,1,6,1,7,1,6,1,3,1,1,1,1,1,1,1,3,1,2,1,23,40.60839844,-75.49019623,-1
R_3E3OoacmAev8zoF,Default Response Set,Anonymous,,,96.36.91.56,0,25/04/16 19:39,25/04/16 19:41,1,A11TREGDHSUSJW,1,0,0,22.984,0,1,5,1,5,1,5,1,4,1,5,1,6,1,3,1,5,1,2,1,4,1,5,1,4,1,20,36.82789612,-76.48000336,-1
R_08mhHmnd0jAGSmV,Default Response Set,Anonymous,,,24.178.176.30,0,25/04/16 19:39,25/04/16 19:41,1,A1FYFBIFYWTMJS,1,0,0,30.721,0,1,7,1,7,1,6,1,4,1,7,1,7,1,4,1,1,1,1,1,1,1,1,1,1,1,30,33.90870667,-86.24970245,-1
R_9NCKJ84jDD5TugB,Default Response Set,Anonymous,,,73.32.165.144,0,25/04/16 19:41,25/04/16 19:42,1,A2Y7C4MW55HGVF,1,0,0,20.653,0,1,5,1,5,1,6,1,5,1,6,1,7,1,3,1,2,1,1,1,2,1,2,1,2,1,29,29.50160217,-95.68900299,-1
R_bPM2HqDumM7VSmx,Default Response Set,Anonymous,,,173.216.127.26,0,25/04/16 19:38,25/04/16 19:43,1,A1A5HDYR9KCR62,1,0,0,229.983,0,1,6,1,4,1,4,1,6,1,5,1,4,1,5,1,6,1,5,1,5,1,2,1,4,1,24,36.9250946,-93.91970062,-1
R_0cbvP0Au28YUrDn,Default Response Set,Anonymous,,,24.225.119.55,0,25/04/16 19:40,25/04/16 19:43,1,ALDQRWYZ8KQ9A,1,0,0,37.116,0,1,7,1,6,1,7,1,6,1,6,1,6,1,1,1,3,1,1,1,3,1,2,1,2,1,38,48.14639282,-96.17649841,-1
R_5o0Mg6eqQ4xW0E5,Default Response Set,Anonymous,,,104.174.223.0,0,25/04/16 19:41,25/04/16 19:43,1,A1A3TGZ7DKJWRW,1,2.273,50.76,51.523,3,1,7,1,7,1,7,1,6,1,7,1,7,1,4,1,1,1,2,1,1,1,2,1,3,1,26,34.07899475,-117.8493958,-1
R_b9me6FzgzvV4PGJ,Default Response Set,Anonymous,,,72.208.193.156,0,25/04/16 19:42,25/04/16 19:44,1,A2551EKB87S2XY,1,0,0,16.297,0,1,4,1,5,1,4,1,5,1,5,1,7,1,4,1,3,1,2,1,4,1,4,1,4,1,35,33.24789429,-111.7894974,-1
R_42tdfewOS8Yu709,Default Response Set,Anonymous,,,173.219.43.42,0,25/04/16 19:41,25/04/16 19:44,1,A1APYLD4DUK33J,1,30.172,35.511,36.698,6,1,5,1,5,1,6,1,5,1,5,1,6,1,3,1,3,1,3,1,2,1,4,1,4,1,28,36.66960144,-93.2614975,-1
R_3pGCOezG6NXqDn7,Default Response Set,Anonymous,,,71.70.246.201,0,25/04/16 19:43,25/04/16 19:45,1,A2IQ0QCTQ3KWLT,1,0,0,31.62,0,1,7,1,6,1,6,1,6,1,7,1,6,1,4,1,2,1,4,1,4,1,4,1,2,2,45,35.75090027,-78.77890015,-1
R_8uhlRGJAeOrQmIB,Default Response Set,Anonymous,,,38.94.147.178,0,25/04/16 19:43,25/04/16 19:46,1,A21S6AU76IFMKK,1,0,0,33.641,0,1,6,1,7,1,7,1,6,1,6,1,7,1,6,1,3,1,4,1,2,1,4,1,4,2,48,31.53230286,-110.7113037,-1
R_eyN6QCw5ca3Phul,Default Response Set,Anonymous,,,40.131.220.171,0,25/04/16 19:44,25/04/16 19:46,1,AG7C4X3WKKBV,1,4.741,37.852,38.507,28,1,5,1,6,1,3,1,4,1,4,1,6,1,5,1,2,1,6,1,3,1,2,1,3,1,25,28.55349731,-81.30039978,-1
R_9t4WsA2xSQkIwPX,Default Response Set,Anonymous,,,198.199.136.86,0,25/04/16 19:44,25/04/16 19:46,1,ALRC6DKD07OOJ,1,0,0,18.339,0,1,6,1,7,1,5,1,7,1,4,1,7,1,3,1,2,1,2,1,1,1,4,1,2,2,21,21.32090759,-157.8388977,-1
R_7Poptk4SXjs0n41,Default Response Set,Anonymous,,,74.137.33.229,0,25/04/16 19:44,25/04/16 19:47,1,A3KW13NHPR32JW,1,0,0,51.778,0,1,7,1,7,1,7,1,7,1,7,1,7,1,4,1,1,1,1,1,1,1,4,1,3,2,50,38.36199951,-85.8891983,-1
R_6heOa6MVYugjecJ,Default Response Set,Anonymous,,,108.217.72.81,0,25/04/16 19:44,25/04/16 19:47,1,A3ULZGQA5AQMTD,1,0,0,35.921,0,1,7,1,5,1,4,1,6,1,7,1,7,1,5,1,3,1,1,1,2,1,1,1,3,1,35,33.77879333,-118.2639008,-1
R_1Aje02RQZmj9ifz,Default Response Set,Anonymous,,,63.243.37.162,0,25/04/16 19:45,25/04/16 19:47,1,A1M1TSMJB12177,1,0,0,11.793,0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,58,28.61849976,-81.43360138,-1
R_9HtSZNfiXVWGdGB,Default Response Set,Anonymous,,,40.139.94.147,0,25/04/16 19:47,25/04/16 19:50,1,AFQKLIYNCVZTL,1,0,0,53.654,0,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,5,1,1,1,5,1,6,1,6,1,35,42.29240417,-85.69080353,-1
R_4HoYC6PFMtqX86V,Default Response Set,Anonymous,,,172.56.14.170,0,25/04/16 19:49,25/04/16 19:52,1,A3OKWRLKLYVH4F,1,0,0,17.117,0,1,5,1,5,1,5,1,5,1,5,1,5,1,4,1,3,1,2,1,4,1,3,1,3,1,28,29.80479431,-95.49089813,-1
R_2mI37fXE9b2iXNX,Default Response Set,Anonymous,,,65.114.125.107,0,25/04/16 19:52,25/04/16 19:54,1,A22KRF782ELLB0,1,2.067,3.736,32.703,2,1,6,1,7,1,6,1,5,1,7,1,6,1,3,1,2,1,1,1,1,1,1,1,2,1,34,36.63549805,-88.28299713,-1
R_6X1qppUVlXV8H4x,Default Response Set,Anonymous,,,184.100.196.137,0,25/04/16 19:53,25/04/16 19:56,1,A16QMHXE8G3ATJ,1,16.595,42.674,49.988,9,1,7,1,6,1,5,1,6,1,7,1,6,1,3,1,1,1,1,1,3,1,2,1,3,2,26,45.6446991,-122.6297989,-1
R_0Or5UQDM44jWsxD,Default Response Set,Anonymous,,,50.153.221.60,0,25/04/16 19:56,25/04/16 19:58,1,A31PPABNA3EX0H,1,0,0,28.528,0,1,4,1,4,1,4,1,4,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,31,39.59249878,-86.11109924,-1
R_6Gdm3MdZZnqEjAN,Default Response Set,Anonymous,,,97.101.7.34,0,25/04/16 19:54,25/04/16 19:59,1,A3X6N2OAY5XY8,1,0,0,166.131,0,1,5,1,4,1,5,1,4,1,6,1,2,1,4,1,3,1,2,1,1,1,2,1,1,1,45,29.57060242,-81.21749878,-1
R_2hoODEg738eQFq5,Default Response Set,Anonymous,,,71.229.65.157,0,25/04/16 19:56,25/04/16 19:59,1,A3ELAQAWWJ9LW,1,0,0,39.322,0,1,6,1,6,1,5,1,6,1,6,1,7,1,3,1,2,1,2,1,2,1,3,1,3,2,30,31.65589905,-81.88069916,-1
R_54OSb5tZnqUg7GJ,Default Response Set,Anonymous,,,129.105.81.219,0,25/04/16 20:03,25/04/16 20:06,1,A3D3D3F8X3NQYH,1,0,0,32.698,0,1,7,1,7,1,7,1,7,1,7,1,7,1,3,1,2,1,4,1,3,1,1,1,4,1,28,42.05859375,-87.68450165,-1
R_6mNbJr6FxDjjW8B,Default Response Set,Anonymous,,,50.39.202.122,0,25/04/16 20:14,25/04/16 20:16,1,AF33681RI3ES8,1,0,0,28.66,0,1,7,1,7,1,7,1,7,1,7,1,7,1,3,1,1,1,1,1,2,1,4,1,2,1,47,45.54460144,-122.4459,-1
R_6FjwlgdsHHOk6ix,Default Response Set,Anonymous,,,209.117.45.10,0,25/04/16 20:23,25/04/16 20:26,1,AFGUCC5L330EU,1,1.538,1.895,35.872,3,1,7,1,7,1,6,1,6,1,6,1,6,1,4,1,2,1,4,1,3,1,3,1,3,1,26,42.35839844,-71.05979919,-1
R_0BxI9PR5EpL3XOR,Default Response Set,Anonymous,,,108.52.24.2,0,25/04/16 19:34,25/04/16 19:37,0,A161AJDHLJVCLZ,1,0,0,5.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_0UoTe0VgRvbQwv3,Default Response Set,Anonymous,,,168.91.255.101,0,25/04/16 19:33,25/04/16 19:34,0,A1JFQYGO8M6EWX,1,0,0,5.309,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_3TXKSa0o35yzOPH,Default Response Set,Anonymous,,,68.111.77.53,0,25/04/16 19:45,25/04/16 19:46,0,AFIFVNL3CREJN,1,0,0,44.074,0,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,-1
R_572FOv997KSWNvv,Default Response Set,Anonymous,,,50.139.59.47,0,25/04/16 19:35,25/04/16 19:36,0,A30AFC17LLJFV6,1,0,0,50.846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_6WfNsS3iqazMglL,Default Response Set,Anonymous,,,64.183.192.50,0,25/04/16 19:37,25/04/16 19:38,0,A13COBI91JOSZW,1,0,0,23.265,0,1,,1,,1,7,1,7,,,,7,,,,,,,,4,,,,,,,,,-1
R_8jZFrrJCEfJavKR,Default Response Set,Anonymous,,,73.43.168.165,0,25/04/16 19:35,25/04/16 19:36,0,AT9AFUEEYD8DE,1,23.978,24.448,25.952,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_9KzO4lArFZzBb4F,Default Response Set,Anonymous,,,74.137.45.114,0,25/04/16 19:40,25/04/16 19:40,0,A3CF8ULBSE8MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_9sKn3bDj49Qqg5L,Default Response Set,Anonymous,,,24.104.64.110,0,25/04/16 19:34,25/04/16 19:34,0,A1YBX7P5PY8LL,1,0,0,20.178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_aaUSsRkkEiCMFBX,Default Response Set,Anonymous,,,205.222.248.235,0,25/04/16 19:35,25/04/16 19:36,0,ACDWBEBOTM2JW,1,4.546,13.186,27.852,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_bmzwSGmVgNfk32Z,Default Response Set,Anonymous,,,68.34.205.61,0,25/04/16 19:37,25/04/16 19:38,0,A54J53JJGBW0N,1,0,0,21.033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_bsI6mAHiSX54Iip,Default Response Set,Anonymous,,,209.63.186.180,0,25/04/16 19:51,25/04/16 19:51,0,A29OZSCMCVOE3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_cSix82pM4BRCcMB,Default Response Set,Anonymous,,,73.205.18.163,0,25/04/16 19:53,25/04/16 19:54,0,AQ5KOKZQSZU0B,1,0,0,20.516,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
