ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q2,Q5,introtime_1,introtime_2,introtime_3,introtime_4,f1,sen01p,f2,sen02n,f3,sen03p,f4,sen04n,f5,sen05n,f6,sen06p,f7,sen07p,f8,sen08n,f1,sen09n,f2,sen10p,f3,sen11n,f4,sen12p,f5,sen13p,f6,sen14n,f7,sen15n,f8,sen16p,f1,sen17p,f2,sen18n,f3,sen19p,f4,sen20n,f5,sen21n,f6,sen22p,f7,sen23p,f8,sen24n,f1,sen25n,f2,sen26p,f3,sen27n,f4,sen28p,f5,sen29p,f6,sen30n,f7,sen31n,f8,sen32p,countries_1_TEXT,countries_2_TEXT,countries_3_TEXT,countries_4_TEXT,countries_5_TEXT,countries_6_TEXT,countries_7_TEXT,countries_8_TEXT,countries_9_TEXT,countries_10_TEXT,countries_11_TEXT,countries_12_TEXT,countries_13_TEXT,countries_14_TEXT,countries_15_TEXT,countries_16_TEXT,countries_17_TEXT,countries_18_TEXT,countries_19_TEXT,countries_20_TEXT,countries_21_TEXT,countries_22_TEXT,countries_23_TEXT,countries_24_TEXT,countries_25_TEXT,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9,sen10,sen11,sen12,sen13,sen14,sen15,sen16,sen17,sen18,sen19,sen20,sen21,sen22,sen23,sen24,sen25,sen26,sen27,sen28,sen29,sen30,sen31,sen32,team_inst,team1,team2,team3,team4,team5,team6,team7,team8,Q140,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,sex,age,DO-BR-FL_19,DO-BR-FL_37,DO-BL-Presentation1,DO-BL-Presentation1inverse,DO-BL-Presentation2,DO-BL-Presentation2inverse,DO-BL-Recall1,DO-BL-Recall1inverse,DO-BL-Recall2,DO-BL-Recall2inverse,DO-BL-Team,DO-BL-Competence,DO-Q-sen1,DO-Q-sen2,DO-Q-sen26,DO-Q-sen18,DO-Q-sen31,DO-Q-sen23,DO-Q-sen9,DO-Q-sen5,DO-Q-sen13,DO-Q-sen15,DO-Q-sen7,DO-Q-sen25,DO-Q-sen17,DO-Q-sen10,DO-Q-sen20,DO-Q-sen28,DO-Q-sen3,DO-Q-sen11,DO-Q-sen19,DO-Q-sen27,DO-Q-sen8,DO-Q-sen16,DO-Q-sen4,DO-Q-sen12,DO-Q-sen21,DO-Q-sen14,DO-Q-sen29,DO-Q-sen6,DO-Q-sen30,DO-Q-sen22,DO-Q-sen24,DO-Q-sen32,LocationLatitude,LocationLongitude,LocationAccuracy
R_06bArTnI3RWbkYB,Default Response Set,Anonymous,,,208.139.138.67,0,2/23/2016 18:41,2/23/2016 18:47,1,46063,AUVC78LEL0T6L,1,1,2.261,2.261,3.593,1,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usa,canada,mexico,greenland,iceland,jamaica,cuba,venazuela,guatemala,brazil,argentina,peru,australia,new zealand,madagascar,djibouti,south africa,congo,ireland,scotland,en,,,,,,,,,,,,,3,4,7,2,8,6,1,5,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,1,25,Presentation 1 inverse,Competence|Team,,f1|sen15n|f2|sen12p|f3|sen09n|f4|sen10p|f5|sen16p|f6|sen11n|f7|sen14n|f8|sen13p,,,,sen14|sen9|sen16|sen11|sen15|sen10|sen13|sen12,,,team_inst|team8|team6|team3|team5|team7|team4|team1|team2,Q140|comp6|comp5|comp4|comp2|comp8|comp1|comp7|comp3,,,,,,,1|2|3|4|5|6|7|8,,5|7|4|2|8|6|3|1,7|3|5|1|4|8|2|6,,,,1|2|8|7|5|4|3|6,,,,1|7|6|8|3|2|4|5,,,,5|3|8|6|7|1|4|2,,7|2|8|4|3|6|1|5,,4|2|5|1|8|7|3|6,,,,,,,36.57220459,-88.57420349,-1
R_8ctTv5D10DHJipD,Default Response Set,Anonymous,,,134.193.203.159,0,2/23/2016 18:41,2/23/2016 18:47,1,74886,A2G6074KBB11TH,1,1,0,0,46.066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,Algeria,France,USA,Germany,Spain,Sweden,Norway,Denmark,Canada,China,Turkey,Turmenistan,Russia,Georgia,Czech Republic,Austria,Netherlands,UK,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,5,6,8,3,1,1,5,6,5,4,5,4,5,4,1,5,6,5,4,6,4,5,5,1,37,Presentation 2 inverse,Competence|Team,,,,f1|sen27n|f2|sen26p|f3|sen25n|f4|sen32p|f5|sen28p|f6|sen31n|f7|sen30n|f8|sen29p,,,,sen29|sen30|sen31|sen27|sen28|sen25|sen32|sen26,team_inst|team5|team7|team4|team8|team3|team1|team6|team2,Q140|comp1|comp7|comp4|comp2|comp5|comp3|comp8|comp6,,,2|1|5|7|8|4|3|6,,4|3|2|8|6|7|5|1,,,,,,,1|2|3|4|5|6|7|8,,,,3|1|6|8|5|7|2|4,,,,8|6|5|1|7|2|3|4,,,,,,,4|1|8|2|5|6|7|3,,1|2|5|3|6|7|4|8,,,4|3|7|5|6|2|1|8,39.03439331,-94.57219696,-1
R_eFm3pYIIqfGFucd,Default Response Set,Anonymous,,,97.124.92.91,0,2/23/2016 18:41,2/23/2016 18:47,1,91264,A1JVO7FLPATHUB,1,1,0,0,31.776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Cananda,Mexico,Brazil,Britian,Ireland,Scotland,Peru,China,Japan,North Korea,South Korea,South Africa,Jamica,India,Pakistan,Iraq,Afghanistan,Saudi Ariaba,Turkey,,,,,,,,,,,,,,,,,,,,,,3,1,2,5,8,4,3,6,,,,,,,,,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,23,Presentation 2,Team|Competence,,,f1|sen22p|f2|sen21n|f3|sen23p|f4|sen20n|f5|sen24n|f6|sen19p|f7|sen17p|f8|sen18n,,,,sen23|sen17|sen19|sen21|sen24|sen22|sen20|sen18,,team_inst|team5|team4|team2|team8|team6|team3|team7|team1,Q140|comp5|comp8|comp2|comp3|comp7|comp1|comp4|comp6,,,,7|8|1|4|6|2|5|3,,8|1|2|3|4|5|6|7,,,,,,,1|2|3|4|5|6|7|8,,3|1|4|7|2|6|8|5,,,,3|7|8|4|6|2|1|5,,,,,,7|2|6|5|8|3|1|4,,,,,4|3|5|1|8|7|2|6,5|2|8|3|1|7|6|4,,33.39720154,-111.7857971,-1
R_3gj8h7CKItPrLZH,Default Response Set,Anonymous,,,76.77.250.19,0,2/23/2016 18:41,2/23/2016 18:47,1,92150,A3I40B0FATY8VH,1,1,0,0,30.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,United States,England,Scotland,Ireland,Russia,China,Brazil,Mexico,Canada,Portugal,Japan,Vietnam,North Korea,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,4,5,3,1,8,1,3,5,5,5,4,4,4,5,1,3,6,5,5,5,4,4,6,1,22,Presentation 2 inverse,Team|Competence,,,,f1|sen31n|f2|sen29p|f3|sen30n|f4|sen28p|f5|sen26p|f6|sen25n|f7|sen27n|f8|sen32p,,,,sen32|sen26|sen29|sen28|sen30|sen31|sen27|sen25,team_inst|team4|team6|team5|team2|team1|team7|team8|team3,Q140|comp6|comp2|comp5|comp8|comp3|comp1|comp4|comp7,,,1|7|3|8|2|5|6|4,,1|4|2|5|7|3|6|8,,,,,,,1|2|3|4|5|6|7|8,,,,4|6|1|8|2|7|3|5,,,,7|1|6|2|8|3|5|4,,,,,,,3|4|5|1|8|6|7|2,,5|6|4|8|1|3|2|7,,,1|7|4|3|5|2|6|8,32.73449707,-96.17320251,-1
R_3ODddZqKcAnwoxn,Default Response Set,Anonymous,,,38.125.36.194,0,2/23/2016 18:41,2/23/2016 18:47,1,39969,A3V16ZZMTM0OLM,1,1,8.577,14.64,48.214,2,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Canada,Mexico,France,South Africa,South Korea,North Korea,Japan,China,Taiwan,Singapore,Iraq,Iran,Germany,Ukraine,Russia,Niger,Cuba,Turkey,Italy,Greece,Brazil,,,,,,,,,,,,4,6,1,1,1,6,3,5,,,,,,,,,,,,,,,,,1,5,5,5,5,6,5,6,4,1,5,6,6,5,6,5,6,6,1,25,Presentation 1 inverse,Competence|Team,,f1|sen11n|f2|sen16p|f3|sen15n|f4|sen10p|f5|sen13p|f6|sen14n|f7|sen09n|f8|sen12p,,,,sen15|sen14|sen16|sen9|sen10|sen13|sen12|sen11,,,team_inst|team3|team6|team1|team8|team4|team2|team5|team7,Q140|comp4|comp2|comp5|comp1|comp7|comp6|comp8|comp3,,,,,,,1|2|3|4|5|6|7|8,,4|8|7|5|6|1|3|2,5|3|6|8|1|4|7|2,,,,7|8|4|3|5|2|6|1,,,,3|8|4|1|5|6|2|7,,,,7|2|3|1|8|4|6|5,,4|6|3|2|5|8|1|7,,5|8|4|1|2|7|3|6,,,,,,,40.64509583,-73.94499969,-1
R_06ZzfoqncrgQ3o9,Default Response Set,Anonymous,,,96.251.123.74,0,2/23/2016 18:42,2/23/2016 18:47,1,51629,A2DPKKEEW2I6QK,1,1,0,0,1.256,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usa,spain,s. america,germany,italy,,,,,,,,,,,,,,,,,,,,,1,8,3,5,2,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,5,3,3,6,5,6,1,3,5,6,4,6,6,6,6,2,24,Presentation 1,Team|Competence,f1|sen07p|f2|sen04n|f3|sen01p|f4|sen02n|f5|sen05n|f6|sen03p|f7|sen06p|f8|sen08n,,,,sen1|sen2|sen7|sen8|sen5|sen4|sen3|sen6,,,,team_inst|team3|team1|team8|team6|team2|team4|team7|team5,Q140|comp7|comp5|comp8|comp4|comp3|comp1|comp2|comp6,1|2|3|4|5|6|7|8,2|5|8|6|7|3|1|4,,,,,,8|7|4|3|2|5|6|1,,,8|6|5|1|2|7|4|3,,,,,,1|6|4|2|8|7|5|3,,,,8|3|6|7|1|5|4|2,,1|2|7|5|4|3|6|8,,,,,2|3|7|5|6|4|1|8,,,,,34.06140137,-117.1734009,-1
R_0BvYryFUS02wwGp,Default Response Set,Anonymous,,,173.217.133.158,0,2/23/2016 18:42,2/23/2016 18:47,1,23878,A2CEUCPDECS6U3,1,1,0,0,6.901,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Mexico,Cuba,China,Australia,New Zealand,Brazil,Nigeria,France,Spain,Italy,Portugal,Chile,,,,,,,,,,,,,,,,,,,,,3,6,1,7,8,2,1,5,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,1,25,Presentation 1 inverse,Team|Competence,,f1|sen09n|f2|sen10p|f3|sen15n|f4|sen16p|f5|sen12p|f6|sen11n|f7|sen14n|f8|sen13p,,,,sen16|sen12|sen15|sen11|sen9|sen13|sen10|sen14,,,team_inst|team2|team1|team5|team8|team6|team3|team4|team7,Q140|comp2|comp3|comp1|comp5|comp7|comp6|comp4|comp8,,,,,,,1|2|3|4|5|6|7|8,,8|7|6|2|3|5|4|1,6|8|1|2|3|4|7|5,,,,2|4|5|6|3|1|7|8,,,,4|5|3|1|8|2|7|6,,,,1|5|3|7|8|6|2|4,,6|8|4|1|3|7|5|2,,2|3|5|4|7|8|6|1,,,,,,,31.28840637,-92.38800049,-1
R_26tkqUIcTCjuLCR,Default Response Set,Anonymous,,,66.168.96.49,0,2/23/2016 18:41,2/23/2016 18:47,1,59707,A1QTQISKEHWSKZ,1,1,0,0,14.168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Bolivia,Mexico,Canada,United Kingdom,Sweden,France,Germany,Russia,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,3,8,6,8,2,,,,,,,,,1,3,6,5,6,5,3,4,4,1,4,6,5,3,4,4,3,5,1,28,Presentation 2,Team|Competence,,,f1|sen17p|f2|sen18n|f3|sen19p|f4|sen24n|f5|sen20n|f6|sen23p|f7|sen22p|f8|sen21n,,,,sen23|sen19|sen21|sen22|sen17|sen20|sen24|sen18,,team_inst|team3|team6|team8|team4|team7|team1|team5|team2,Q140|comp5|comp1|comp2|comp7|comp6|comp8|comp4|comp3,,,,2|5|1|8|7|4|6|3,,1|5|2|7|8|3|6|4,,,,,,,1|2|3|4|5|6|7|8,,6|7|3|8|5|1|2|4,,,,6|8|1|3|7|5|2|4,,,,,,5|6|7|2|1|8|3|4,,,,,3|1|6|4|2|5|7|8,4|7|8|1|3|6|2|5,,35.227005,-84.88040161,-1
R_eD8tSGqjDGMWLad,Default Response Set,Anonymous,,,216.47.50.65,0,2/23/2016 18:41,2/23/2016 18:48,1,41829,A167GO76JNIKY2,1,1,0,0,4.888,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMerica,Russia,Ukraine,China,Japan,SPain,Enland,Ireland,Sudan,Iraq,Iran,mexico,Canada,VIetnam,Camobia,,,,,,,,,,,3,2,4,5,1,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,7,1,7,7,7,1,7,1,7,7,1,7,7,7,1,31,Presentation 1,Competence|Team,f1|sen07p|f2|sen02n|f3|sen01p|f4|sen08n|f5|sen04n|f6|sen06p|f7|sen03p|f8|sen05n,,,,sen3|sen2|sen8|sen7|sen6|sen1|sen5|sen4,,,,team_inst|team3|team8|team5|team1|team6|team7|team4|team2,Q140|comp3|comp6|comp7|comp4|comp8|comp1|comp5|comp2,1|2|3|4|5|6|7|8,7|4|2|5|8|3|1|6,,,,,,6|3|7|5|1|8|2|4,,,3|2|7|8|1|5|6|4,,,,,,4|5|7|1|6|2|8|3,,,,6|7|8|1|5|2|3|4,,2|7|3|5|8|1|6|4,,,,,4|5|3|8|1|7|6|2,,,,,46.94020081,-113.8497009,-1
R_3VGGG8XYUX9cful,Default Response Set,Anonymous,,,68.190.248.238,0,2/23/2016 18:42,2/23/2016 18:48,1,15112,A2AGQGMZVSZVUJ,1,1,0,0,7.416,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,india,australia,uk,spain,germany,finland,sweden,thailand,china,japan,canada,mexico,colombia,brazil,chile,bolivia,,,,,,,,,,4,8,4,4,8,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,2,5,2,2,3,2,1,5,3,5,2,3,2,2,5,2,43,Presentation 1,Team|Competence,f1|sen07p|f2|sen04n|f3|sen01p|f4|sen08n|f5|sen05n|f6|sen06p|f7|sen03p|f8|sen02n,,,,sen8|sen7|sen2|sen1|sen4|sen3|sen6|sen5,,,,team_inst|team3|team7|team2|team8|team1|team6|team4|team5,Q140|comp5|comp6|comp3|comp2|comp8|comp4|comp1|comp7,1|2|3|4|5|6|7|8,6|4|1|5|7|3|2|8,,,,,,2|5|6|4|8|1|3|7,,,4|6|5|2|8|1|3|7,,,,,,1|7|4|3|6|2|8|5,,,,3|6|2|1|8|4|5|7,,7|2|1|8|4|3|5|6,,,,,4|6|7|2|1|3|5|8,,,,,33.86270142,-118.1806946,-1
